Name,Type,Status,From,To
12F,icon,OK,"C:\Users\mahoe\OneDrive\Documents\Dev\ArknightsTactics\assets\icons\12F.png","C:\Users\mahoe\OneDrive\Documents\Dev\ArknightsTactics\assets\icons\12F.png"
12F,battlecard,OK,"C:\Users\mahoe\OneDrive\Documents\Dev\ArknightsTactics\assets\battlecards\12F.png","C:\Users\mahoe\OneDrive\Documents\Dev\ArknightsTactics\assets\battlecards\12F.png"
Absinthe,icon,OK,"C:\Users\mahoe\OneDrive\Documents\Dev\ArknightsTactics\assets\icons\Absinthe.png","C:\Users\mahoe\OneDrive\Documents\Dev\ArknightsTactics\assets\icons\Absinthe.png"
Absinthe,battlecard,OK,"C:\Users\mahoe\OneDrive\Documents\Dev\ArknightsTactics\assets\battlecards\Absinthe.png","C:\Users\mahoe\OneDrive\Documents\Dev\ArknightsTactics\assets\battlecards\Absinthe.png"
Adnachiel,icon,OK,"C:\Users\mahoe\OneDrive\Documents\Dev\ArknightsTactics\assets\icons\Adnachiel.png","C:\Users\mahoe\OneDrive\Documents\Dev\ArknightsTactics\assets\icons\Adnachiel.png"
Adnachiel,battlecard,OK,"C:\Users\mahoe\OneDrive\Documents\Dev\ArknightsTactics\assets\battlecards\Adnachiel.png","C:\Users\mahoe\OneDrive\Documents\Dev\ArknightsTactics\assets\battlecards\Adnachiel.png"
Akafuyu,icon,OK,"C:\Users\mahoe\OneDrive\Documents\Dev\ArknightsTactics\assets\icons\Akafuyu.png","C:\Users\mahoe\OneDrive\Documents\Dev\ArknightsTactics\assets\icons\Akafuyu.png"
Akafuyu,battlecard,OK,"C:\Users\mahoe\OneDrive\Documents\Dev\ArknightsTactics\assets\battlecards\Akafuyu.png","C:\Users\mahoe\OneDrive\Documents\Dev\ArknightsTactics\assets\battlecards\Akafuyu.png"
Ambriel,icon,OK,"C:\Users\mahoe\OneDrive\Documents\Dev\ArknightsTactics\assets\icons\Ambriel.png","C:\Users\mahoe\OneDrive\Documents\Dev\ArknightsTactics\assets\icons\Ambriel.png"
Ambriel,battlecard,OK,"C:\Users\mahoe\OneDrive\Documents\Dev\ArknightsTactics\assets\battlecards\Ambriel.png","C:\Users\mahoe\OneDrive\Documents\Dev\ArknightsTactics\assets\battlecards\Ambriel.png"
